Round,train_MAE,train_RMSE,train_R2,train_MAPE,train_PMAE,test_MAE,test_RMSE,test_R2,test_MAPE,test_PMAE
1,1.9238698751936845,2.587199840872173,0.4630071636449562,2.205109000222509,2.183200772516146,11.720594778320718,12.231564127079352,-14.684845852496947,11.945424170203509,12.045144505104895
2,1.9776203899694824,2.580302634216023,0.46586648173797074,2.2616403966744594,2.2441966677659995,11.78081247673584,12.314013254028177,-14.897011748346886,12.004863223862001,12.107029664765614
3,1.937278376928304,2.549682295808158,0.4784683407313767,2.2149755439533503,2.198416693157535,11.50173129107707,12.044460942132817,-14.208661610655534,11.718540828261503,11.820220567318298
4,1.9487342044952392,2.5519734905884346,0.4775306023225283,2.2319478236709904,2.2114167260165276,10.406241948069662,10.979091420126151,-11.637147788660426,10.593949302822377,10.694396520851498
5,1.9473815497932943,2.535429668195978,0.4842827285835112,2.225497216127308,2.209881738214956,10.621330156586101,11.174945968419808,-12.092034036755704,10.81608152046919,10.91544064036297
