Round,train_MAE,train_RMSE,train_R2,train_MAPE,train_PMAE,test_MAE,test_RMSE,test_R2,test_MAPE,test_PMAE
1,1.9230065881485998,2.572495905023714,0.46909364411524346,2.2040917214132625,2.1822211174115917,12.581530784230956,13.021654429320215,-16.77659562474625,12.834819418686335,12.929920303344927
2,1.941819721180013,2.560652001033993,0.4739710308951657,2.2239967168379726,2.2035701946528445,12.273273999156087,12.750817592514833,-16.04481640704137,12.515492370013032,12.613127718059605
3,1.9301204154007976,2.536660953107809,0.483781709691254,2.205311459855093,2.190293863574313,12.183244123718667,12.652808750652175,-15.783794333554454,12.424116488808783,12.52060486577005
4,1.9267935225480144,2.530068847868683,0.486461250756709,2.1989396429962005,2.1865185172580537,12.214352026245523,12.674839838006632,-15.842293148206139,12.457116011106086,12.552574163256534
5,1.9475802847855632,2.53716766147173,0.48357545567844484,2.2259691151383163,2.210107261985686,11.687525326670736,12.157043659898433,-14.494309064310192,11.916312877000363,12.011159342119361
