Round,train_MAE,train_RMSE,train_R2,train_MAPE,train_PMAE,test_MAE,test_RMSE,test_R2,test_MAPE,test_PMAE
1,1.9554283093621823,2.621379823423563,0.44872481310187073,2.2435846764360345,2.219013172691666,8.897467985413003,9.645337345982862,-8.75328927405003,9.03530218932535,9.143843775921349
2,1.9337215693007401,2.546664474155411,0.4797021870841044,2.210623079712779,2.194380440362939,11.424163554769288,11.992146694741006,-14.076833078065425,11.6369940819,11.7405049376568
3,1.9464662874979652,2.548188531200705,0.47907925396442685,2.229736791300557,2.2088431017791024,9.739165678284097,10.332318521679415,-10.192106492623257,9.909445311494453,10.008848541634979
