Round,train_MAE,train_RMSE,train_R2,train_MAPE,train_PMAE,test_MAE,test_RMSE,test_R2,test_MAPE,test_PMAE
1,2.1283612788045247,2.592898246808805,0.42275161714955745,1.8631970206600754,1.8603822581128333,4.379510823756918,5.130729026354465,-3.2591009810924927,3.699978615449631,3.744838684249257
2,2.384846504657999,2.908344613392713,0.2737544113073923,2.084266913349944,2.084573784428273,4.47986862255656,5.1607457375467645,-3.3090814700156344,3.787224880484715,3.830652781379084
3,2.2531662503234866,2.776227900547359,0.3382377250245019,1.9609047055862794,1.9694732085310676,5.81987984975179,6.4074539830098916,-5.64248789781601,4.931655047856156,4.9764715914863435
4,2.185838063557943,2.692655189611628,0.37748006593279215,1.9092613562418161,1.9106222205071361,4.75699207378947,5.4845923487274755,-3.866855893181807,4.021974780934887,4.067615917732156
5,2.1776400407155356,2.678603774676879,0.3839602587265386,1.901070379715557,1.9034563993660067,4.81348122351888,5.536935643766253,-3.960194786293318,4.070137758297483,4.115918744613988
