Round,train_MAE,train_RMSE,train_R2,train_MAPE,train_PMAE,test_MAE,test_RMSE,test_R2,test_MAPE,test_PMAE
1,2.1568681677825925,2.6275761558421245,0.40720790838619014,1.8876534363836808,1.8852998841836186,2.991516908009847,3.848541128233863,-1.3963599038209549,2.519966981753554,2.5579907648431934
2,2.274994717009481,2.7759141567659555,0.33838728916268546,1.9814397411143314,1.9885532832105135,4.907077205116781,5.616284687241733,-4.103381182186189,4.150288127437557,4.195950936948526
3,2.2392120877258304,2.7435936839840935,0.35370415246266074,1.952099132668816,1.9572759952186345,4.4645734865173345,5.22939947434331,-3.4244920379205226,3.772378352483189,3.8175741935126397
4,2.1922337472117106,2.690765132485184,0.3783536908195654,1.916645092488169,1.9162126324905069,3.6256839434305825,4.447373699312891,-2.200125621590371,3.0585951378184024,3.100255264713066
5,2.1287789881551107,2.587710055955302,0.4250593656516265,1.8594138957940491,1.8607473742576424,3.6561154245686853,4.506502727970412,-2.2857843496253167,3.0834164719039676,3.126276661250501
